property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
House,sector 26,4.0,4.0,3,Old Property,1265.0,0,0,0,Low,lower,4.45
Flat,sector 85,3.0,3.0,3,Relatively New,1587.0,0,0,0,Low,mid,0.93
Flat,sector 62,4.0,6.0,3,Relatively New,7865.0,1,0,2,Medium,mid,9.95
House,sector 4,5.0,5.0,1,Old Property,5067.0,1,0,2,Low,lower,4.75
Flat,sector 91,4.0,3.0,3+,Relatively New,2578.0,0,0,1,Low,lower,1.8
House,sector 6,2.0,2.0,No,Moderately Old,1222.0,0,0,0,Low,lower,0.85
Flat,sector 2,3.0,4.0,3+,Old Property,1737.0,1,0,0,Medium,lower,1.55
House,sector 26,4.0,4.0,3+,Old Property,2700.0,1,1,0,Medium,lower,8.9
Flat,sector 69,3.0,3.0,1,Relatively New,1392.0,0,0,0,Medium,mid,1.37
House,sector 70a,4.0,4.0,3+,Moderately Old,2610.0,1,1,0,Medium,lower,4.6
Flat,sector 113,2.0,2.0,2,New Property,1154.0,0,0,0,Medium,mid,1.5
House,sector 50,5.0,5.0,3,Moderately Old,3240.0,1,0,0,Low,lower,10.55
Flat,sector 9,4.0,3.0,2,Moderately Old,2000.0,0,0,2,Low,lower,1.2
House,sector 109,4.0,5.0,3,Relatively New,5400.0,1,0,0,Low,lower,6.8
House,sector 55,3.0,3.0,2,New Property,1620.0,1,0,2,Medium,lower,1.64
Flat,sector 107,2.0,2.0,3,Relatively New,2561.0,0,0,2,Medium,mid,0.9
Flat,sector 65,3.0,3.0,3+,Relatively New,2800.0,1,0,2,High,high,5.0
House,sector 31,4.0,4.0,2,Moderately Old,1557.0,1,0,2,Medium,lower,3.69
Flat,sector 58,2.0,2.0,2,Relatively New,1244.0,0,0,0,Low,mid,2.2
Flat,sector 48,4.0,5.0,3+,Moderately Old,4119.0,0,0,2,Medium,mid,4.25
Flat,sector 67,4.0,4.0,3+,Relatively New,3200.0,1,1,2,High,lower,4.75
Flat,sector 86,3.0,2.0,3,Relatively New,1480.0,0,0,1,Medium,mid,1.45
Flat,sector 33,2.0,2.0,2,Under Construction,103.0,0,0,0,Low,high,1.15
House,sector 24,4.0,2.0,2,Old Property,540.0,0,0,0,Low,lower,1.44
Flat,sector 65,3.0,3.0,3,Relatively New,1833.0,1,0,2,Medium,lower,2.35
Flat,sector 49,3.0,4.0,3,Moderately Old,2251.0,1,0,2,Medium,mid,2.65
House,sector 105,3.0,2.0,1,Relatively New,720.0,0,0,0,Low,lower,0.65
House,sector 41,1.0,1.0,No,Moderately Old,1200.0,0,0,0,Low,lower,1.65
House,sector 12,4.0,6.0,2,Old Property,1710.0,0,0,0,Low,lower,6.0
House,sector 3 phase 3 extension,2.0,2.0,No,Moderately Old,130.0,0,0,0,Low,lower,0.75
Flat,manesar,3.0,3.0,3,Old Property,1900.0,1,0,1,Low,lower,0.9
House,sector 48,3.0,6.0,2,Moderately Old,2592.0,1,0,2,Medium,lower,5.5
Flat,sector 82,2.0,2.0,3,Moderately Old,1150.0,0,0,0,Medium,lower,0.67
House,sector 38,4.0,9.0,3+,Relatively New,4800.0,0,1,2,High,lower,4.0
Flat,sector 108,2.0,2.0,3,Moderately Old,1720.0,0,0,2,Low,lower,0.7
Flat,sector 113,3.0,3.0,3,New Property,2098.0,1,0,0,High,lower,2.33
House,sector 2,2.0,2.0,1,Relatively New,583.0,0,0,0,Low,lower,0.4
Flat,sector 69,2.0,1.0,1,Relatively New,667.0,0,0,0,Low,mid,0.6
Flat,sector 102,3.0,3.0,3,Under Construction,1653.0,0,0,0,High,high,2.5
House,sector 46,4.0,3.0,3,Relatively New,90.0,0,0,2,Low,lower,2.25
Flat,sector 90,3.0,3.0,3+,Relatively New,3144.0,0,0,0,Medium,high,1.2
Flat,sector 95,3.0,2.0,2,New Property,1622.0,0,0,2,Medium,mid,0.55
Flat,sector 106,4.0,6.0,3+,Relatively New,2131.0,1,0,0,Medium,mid,1.42
Flat,sector 89,3.0,3.0,3,Under Construction,1423.0,0,0,0,Medium,lower,1.33
Flat,sector 90,3.0,4.0,3+,Old Property,1608.0,1,0,1,Low,lower,1.25
House,sector 53,5.0,5.0,3+,Moderately Old,2646.0,0,0,2,Low,lower,4.65
House,sector 110,4.0,4.0,3+,Moderately Old,2700.0,1,0,0,Medium,lower,6.0
House,sector 13,4.0,5.0,2,Old Property,4950.0,0,0,0,Low,lower,4.5
Flat,sector 104,4.0,4.0,3+,Relatively New,6128.0,1,0,2,High,high,2.6
Flat,sector 72,4.0,4.0,3+,Moderately Old,4500.0,1,0,2,High,lower,5.0
Flat,sector 86,3.0,3.0,2,New Property,1690.0,0,0,0,Low,mid,0.9
Flat,sector 86,3.0,3.0,1,Relatively New,1745.0,0,0,0,Medium,mid,1.35
House,sector 24,8.0,11.0,3+,Old Property,5000.0,1,0,2,Low,lower,11.0
Flat,sector 83,3.0,3.0,3,Relatively New,1600.0,1,0,2,High,mid,1.75
Flat,sector 88a,2.0,2.0,3+,Relatively New,1463.0,0,0,0,Medium,lower,1.31
House,sector 11,6.0,4.0,2,Moderately Old,2700.0,0,0,0,Low,lower,3.08
Flat,sector 81,3.0,4.0,3+,Relatively New,2300.0,1,1,2,Medium,mid,2.25
Flat,sector 102,3.0,3.0,3,New Property,3143.0,0,0,0,Medium,mid,2.12
Flat,sector 84,2.0,2.0,3,New Property,1221.0,0,0,0,Low,mid,0.85
House,sector 28,5.0,6.0,3+,New Property,3240.0,1,0,2,High,lower,10.5
House,sector 57,6.0,6.0,3,Old Property,2700.0,1,1,1,Medium,lower,4.6
Flat,sector 56,3.0,3.0,3+,Old Property,2400.0,1,0,2,Medium,lower,1.74
Flat,sector 50,3.0,3.0,3+,Old Property,2357.0,1,0,2,Medium,mid,3.0
Flat,sector 78,2.0,2.0,2,Moderately Old,1224.0,0,0,0,Low,mid,0.7
Flat,sector 108,2.0,3.0,3,Relatively New,978.0,1,0,0,Medium,lower,0.9
Flat,sector 47,2.0,2.0,2,Relatively New,1108.0,0,0,2,Low,lower,1.05
Flat,manesar,3.0,3.0,3+,Moderately Old,3411.0,1,0,0,Medium,lower,0.73
Flat,sector 81,3.0,2.0,3+,Relatively New,2704.0,0,0,0,Medium,mid,1.15
House,sector 60,9.0,12.0,3+,Relatively New,6390.0,1,0,2,Medium,lower,18.02
House,sector 66,5.0,6.0,3+,New Property,3150.0,1,0,0,Low,lower,12.0
Flat,sohna road,2.0,2.0,2,Moderately Old,1350.0,0,0,0,Medium,lower,0.75
House,sector 109,7.0,5.0,3+,Relatively New,4500.0,1,0,0,Low,lower,11.3
Flat,sector 61,2.0,2.0,2,New Property,1150.0,0,0,0,Medium,lower,1.57
Flat,sector 102,2.0,2.0,2,Relatively New,915.0,0,0,0,Low,mid,0.95
House,sector 69,4.0,3.0,2,New Property,1800.0,0,0,1,Medium,lower,2.95
House,sector 7,4.0,2.0,2,Old Property,1575.0,0,0,0,Low,lower,1.75
Flat,sector 56,3.0,3.0,3+,Old Property,1450.0,0,0,2,High,lower,1.35
Flat,sector 37d,4.0,3.0,3,Relatively New,1808.0,0,0,2,Low,high,1.79
Flat,sector 91,3.0,4.0,3+,Relatively New,3571.0,1,0,0,Medium,lower,1.5
Flat,sector 90,2.0,2.0,1,New Property,1300.0,0,0,0,Low,mid,0.5
Flat,sector 111,2.0,2.0,1,Under Construction,1337.0,0,0,0,Medium,lower,0.96
House,sector 104,4.0,3.0,1,Moderately Old,1170.0,0,0,0,Low,lower,0.6
Flat,sector 67,4.0,4.0,3+,Relatively New,2832.0,1,0,2,High,high,4.55
Flat,sector 9a,4.0,3.0,3,Old Property,2007.0,1,0,2,Low,lower,1.25
House,sector 9a,9.0,9.0,3+,Relatively New,3150.0,0,0,2,Low,lower,4.5
Flat,sector 65,3.0,3.0,3+,Relatively New,1650.0,1,0,2,Low,lower,2.8
Flat,sector 99a,3.0,3.0,3,Relatively New,1790.0,1,0,0,Low,lower,1.16
Flat,sector 43,3.0,3.0,2,Old Property,1294.0,0,0,2,Medium,mid,2.09
Flat,sector 85,4.0,4.0,3+,Relatively New,2500.0,1,0,2,Low,lower,2.05
House,sector 48,4.0,5.0,3+,Moderately Old,4000.0,1,0,2,Low,lower,8.4
House,sector 48,3.0,4.0,3,Relatively New,2592.0,1,1,2,Medium,lower,6.4
Flat,sector 2,2.0,3.0,No,Moderately Old,1000.0,0,0,0,Low,lower,1.0
House,sector 25,5.0,5.0,3,Old Property,2700.0,1,1,0,Medium,lower,9.0
House,sector 81,4.0,4.0,3,Relatively New,5480.0,1,1,0,Medium,lower,4.35
Flat,sector 95,2.0,2.0,3,New Property,1425.0,0,0,0,Medium,mid,0.8
Flat,sector 33,2.0,2.0,2,Under Construction,85.0,0,0,0,Medium,lower,1.31
Flat,sector 102,3.0,3.0,2,Relatively New,1493.0,1,0,2,High,mid,1.45
Flat,sector 86,3.0,3.0,3+,Relatively New,1780.0,1,0,0,High,high,1.54
Flat,sector 68,2.0,2.0,3,Relatively New,1130.0,0,0,2,Medium,mid,1.13
House,sector 17,2.0,6.0,3+,Relatively New,1449.0,0,0,0,Medium,lower,2.98
Flat,sector 90,2.0,2.0,3,Relatively New,1050.0,0,0,0,Medium,mid,0.65
House,sector 55,1.0,4.0,3+,Relatively New,60.0,0,1,0,Medium,lower,1.45
Flat,sector 84,4.0,4.0,3+,Relatively New,5996.0,1,0,0,Medium,mid,2.28
Flat,sector 33,3.0,2.0,3+,New Property,1730.0,0,0,0,Low,mid,1.55
Flat,sector 99,4.0,4.0,3+,New Property,3040.0,1,0,0,Medium,lower,3.25
Flat,sector 56,3.0,2.0,3,Old Property,1750.0,1,0,2,Medium,mid,1.39
Flat,sector 113,2.0,2.0,3,New Property,1350.0,0,0,0,High,mid,1.38
Flat,sector 49,3.0,4.0,3+,Moderately Old,2252.0,1,0,2,Medium,lower,2.64
Flat,sector 95,3.0,2.0,2,New Property,761.0,0,0,0,Low,mid,0.4
Flat,sector 104,3.0,2.0,3+,Relatively New,1303.0,0,1,2,Low,high,1.3
Flat,sector 67a,2.0,2.0,2,Relatively New,581.0,0,0,0,Medium,lower,0.62
Flat,sector 112,2.0,2.0,3,Relatively New,1500.0,1,1,2,Medium,mid,3.1
Flat,sector 103,3.0,3.0,3+,Relatively New,3366.0,0,0,0,Low,high,1.65
Flat,sector 77,3.0,4.0,3,Relatively New,1611.0,1,0,2,Medium,lower,1.25
Flat,sector 99a,3.0,3.0,3,Under Construction,1810.0,0,0,0,Low,mid,1.6
Flat,sector 83,4.0,4.0,3,Relatively New,2167.0,1,0,0,Low,mid,1.4
Flat,sector 104,3.0,4.0,3+,Relatively New,2072.0,1,1,0,Medium,mid,1.85
Flat,sector 90,2.0,2.0,3,Old Property,2398.0,0,0,0,Medium,mid,0.64
House,sector 47,1.0,4.0,3,Relatively New,576.0,0,0,0,Low,lower,0.99
Flat,sector 1,3.0,3.0,3+,Relatively New,2081.0,1,0,0,Low,lower,0.85
Flat,sector 88a,2.0,2.0,3,Relatively New,2760.0,0,0,0,High,mid,1.15
Flat,sector 102,2.0,2.0,2,Relatively New,1099.0,0,0,0,Medium,lower,1.25
Flat,sector 70,3.0,3.0,3,New Property,1764.0,1,1,0,Low,mid,1.9
Flat,sector 90,3.0,3.0,3+,Relatively New,1600.0,0,0,0,Medium,mid,1.24
House,sector 24,4.0,4.0,3+,Relatively New,1350.0,1,0,2,Medium,lower,5.25
Flat,sector 85,2.0,2.0,3,Relatively New,1263.0,0,0,0,Medium,high,1.15
House,sector 11,5.0,4.0,3,Old Property,1850.0,0,1,0,Low,lower,2.5
Flat,sector 67a,4.0,4.0,3,New Property,1990.0,0,0,2,Medium,lower,1.9
House,sector 12,5.0,5.0,2,Old Property,1350.0,0,0,0,Low,lower,1.5
Flat,sector 79,3.0,3.0,3+,Relatively New,2426.0,0,0,2,Medium,lower,1.3
Flat,sector 104,1.0,2.0,2,New Property,334.0,0,0,0,Medium,lower,0.2
Flat,sector 49,4.0,4.0,3+,Moderately Old,2156.0,1,0,0,Medium,mid,2.9
House,sector 70a,4.0,4.0,3+,Relatively New,6000.0,1,0,0,High,lower,4.0
Flat,sector 104,2.0,2.0,3,Relatively New,1611.0,0,0,0,Medium,mid,0.85
Flat,sector 68,2.0,2.0,2,New Property,1460.0,0,0,0,Low,mid,1.32
Flat,sector 79,3.0,3.0,3,Relatively New,1058.0,0,0,2,Medium,high,1.25
Flat,sector 89,3.0,3.0,3,New Property,1944.0,0,0,0,Low,lower,1.5
Flat,sector 79,3.0,3.0,3+,Relatively New,1656.0,0,0,2,Low,high,1.25
Flat,sector 67,3.0,3.0,3+,Moderately Old,1406.0,0,0,0,Low,lower,1.0
Flat,sector 108,3.0,4.0,2,New Property,2003.0,0,0,0,Medium,mid,2.9
Flat,sector 43,3.0,3.0,3+,Moderately Old,2450.0,1,0,2,Medium,lower,3.8
Flat,sector 37c,3.0,3.0,3,Relatively New,3162.0,0,0,0,Low,lower,1.27
House,sector 109,4.0,4.0,2,Relatively New,4800.0,1,0,0,Medium,lower,5.75
Flat,sohna road,2.0,2.0,2,Relatively New,556.0,0,0,0,Low,mid,0.35
Flat,sector 106,3.0,4.0,3+,Relatively New,1186.0,1,0,0,Low,high,1.28
Flat,sector 60,2.0,3.0,2,Relatively New,1402.0,0,0,0,Medium,lower,2.5
Flat,sector 95,3.0,3.0,3+,New Property,1750.0,0,0,0,Low,mid,0.92
House,sector 2,3.0,3.0,3,Moderately Old,1557.0,0,0,2,Low,lower,2.75
Flat,sohna road,2.0,2.0,3+,Moderately Old,1100.0,0,0,2,High,mid,0.9
Flat,sector 72,4.0,4.0,3+,New Property,4000.0,1,0,2,High,lower,6.75
Flat,sector 37c,3.0,3.0,3+,New Property,1696.0,0,0,0,Medium,lower,0.95
House,sector 25,5.0,6.0,3,Old Property,2700.0,1,1,2,Medium,lower,10.0
Flat,sector 69,3.0,3.0,2,Relatively New,1428.0,0,0,2,Low,mid,1.28
House,sector 109,5.0,6.0,3+,Moderately Old,2430.0,1,0,0,Low,lower,6.1
Flat,sector 92,2.0,2.0,2,New Property,1498.0,0,0,0,Low,mid,0.62
Flat,sector 85,2.0,2.0,3,Relatively New,1484.0,0,0,2,High,mid,1.2
Flat,sector 67,3.0,3.0,3,Relatively New,2047.0,0,0,2,Low,lower,2.98
Flat,sector 81,1.0,1.0,1,Relatively New,733.0,0,0,1,Medium,mid,0.31
Flat,sohna road,2.0,2.0,3,New Property,913.0,0,0,0,Medium,lower,0.56
Flat,sector 92,3.0,1.0,3,Moderately Old,1316.0,0,0,2,Medium,lower,0.56
House,sector 109,7.0,6.0,3,Relatively New,3600.0,1,0,0,Medium,lower,9.5
Flat,sector 92,3.0,3.0,1,Relatively New,711.0,0,0,0,Low,lower,0.42
Flat,sector 65,4.0,4.0,3,Moderately Old,12222.0,1,0,0,Medium,mid,13.2
Flat,sector 90,3.0,3.0,3,Relatively New,1556.0,0,0,0,Medium,high,1.25
House,sector 66,5.0,6.0,3+,Relatively New,6667.0,1,1,2,Medium,lower,19.0
Flat,sector 69,3.0,2.0,3,Relatively New,1473.0,0,0,0,Medium,mid,0.9
Flat,sector 37c,3.0,3.0,3+,Relatively New,3689.0,1,0,0,Low,lower,1.43
Flat,sector 65,2.0,2.0,3,New Property,1433.0,0,0,0,Low,lower,2.65
Flat,sector 102,3.0,3.0,3,Relatively New,2629.0,1,0,2,Medium,mid,1.38
Flat,sector 78,3.0,3.0,2,Moderately Old,4089.0,0,0,1,Low,mid,1.2
Flat,sector 103,1.0,1.0,1,Relatively New,400.0,0,0,0,Low,lower,0.23
Flat,sector 107,3.0,2.0,2,Relatively New,850.0,0,0,0,Low,mid,0.5
Flat,sector 102,3.0,3.0,3,Relatively New,1531.0,0,0,0,Medium,lower,1.8
Flat,sector 90,4.0,4.0,3+,Relatively New,1900.0,0,0,0,Medium,mid,1.65
House,sector 70a,2.0,2.0,3+,New Property,1319.0,1,0,0,High,lower,0.9
Flat,sohna road,2.0,2.0,1,New Property,590.0,0,0,0,Low,mid,0.45
Flat,sector 49,4.0,3.0,3+,Old Property,2492.0,0,0,0,Medium,lower,2.0
Flat,sector 56,4.0,4.0,3+,Moderately Old,2667.0,0,0,2,Low,mid,2.05
Flat,sector 43,3.0,3.0,2,Old Property,1467.0,1,0,1,Low,lower,2.0
Flat,sector 28,1.0,1.0,1,Old Property,995.0,0,0,2,Medium,lower,1.0
House,sector 12,2.0,1.0,No,Old Property,360.0,0,0,0,Low,lower,0.35
House,sector 28,4.0,4.0,No,Relatively New,3240.0,0,0,0,Low,lower,4.5
House,sector 63a,6.0,6.0,3+,Under Construction,3132.0,0,1,0,Low,lower,8.5
Flat,sector 108,4.0,5.0,3+,Relatively New,2779.0,1,0,2,Medium,mid,2.29
Flat,sector 89,3.0,2.0,3,Moderately Old,1402.0,0,1,2,Medium,mid,1.55
Flat,sector 107,2.0,2.0,1,Relatively New,496.0,0,0,0,Medium,mid,0.37
Flat,sector 66,2.0,3.0,3,Relatively New,1470.0,1,0,2,Medium,high,1.85
Flat,sohna road road,2.0,2.0,2,Under Construction,1350.0,0,0,0,Low,lower,0.69
Flat,sector 79,3.0,4.0,3+,New Property,2152.0,1,0,0,Low,lower,2.69
Flat,sector 73,2.0,2.0,2,New Property,1444.0,0,0,0,Low,mid,1.0
Flat,sector 70a,3.0,3.0,3,Relatively New,1945.0,1,0,0,Medium,mid,2.4
House,sector 72,4.0,5.0,3+,Relatively New,7000.0,0,0,2,Low,lower,8.6
Flat,sector 111,4.0,6.0,3+,Relatively New,4071.0,1,0,2,Medium,mid,5.25
Flat,sector 7,2.0,2.0,1,Relatively New,1000.0,0,0,0,Low,lower,0.45
Flat,sector 107,4.0,5.0,3+,Relatively New,2504.0,1,0,0,Medium,mid,1.7
Flat,sector 89,2.0,2.0,No,New Property,1103.0,0,0,0,Low,lower,0.88
Flat,sector 107,2.0,2.0,3+,Relatively New,2403.0,0,0,0,High,mid,0.75
Flat,sector 85,3.0,4.0,3,Relatively New,2300.0,0,0,0,Low,mid,1.98
Flat,sector 83,2.0,2.0,3,Relatively New,1300.0,0,0,2,Medium,mid,0.95
House,sector 14,4.0,4.0,3+,Moderately Old,3150.0,0,0,0,Low,lower,6.5
Flat,sector 77,2.0,2.0,2,Relatively New,2251.0,0,0,0,Medium,lower,0.99
House,sector 2,4.0,3.0,2,Moderately Old,1557.0,0,1,2,Medium,lower,2.68
Flat,sector 82,2.0,2.0,3,Relatively New,1383.0,0,0,0,Low,mid,0.8
House,sector 25,5.0,5.0,3+,Moderately Old,9500.0,1,0,1,Low,lower,10.0
Flat,sector 31,3.0,2.0,2,Moderately Old,1450.0,0,0,1,Medium,lower,1.2
Flat,sector 106,3.0,4.0,3+,Relatively New,1186.0,1,0,0,High,mid,1.2
Flat,sector 33,2.0,2.0,3+,Under Construction,1539.0,0,0,0,Low,high,1.25
Flat,sohna road,3.0,3.0,3,Relatively New,1281.0,0,0,0,High,lower,0.7
Flat,sector 65,3.0,3.0,3,Relatively New,1650.0,1,1,2,Medium,mid,2.7
Flat,sector 49,3.0,3.0,3,Relatively New,1633.0,0,0,0,Low,lower,2.09
Flat,sector 54,3.0,4.0,3+,Moderately Old,1607.0,1,0,1,High,mid,4.85
House,sector 17b,4.0,4.0,2,Old Property,4494.0,1,1,0,Low,lower,7.2
Flat,sector 84,2.0,2.0,1,Relatively New,537.0,0,1,2,Medium,lower,0.34
House,sector 9,4.0,3.0,1,Old Property,200.0,0,0,0,Low,lower,1.1
Flat,sector 103,3.0,4.0,3,Under Construction,2012.0,1,0,0,Medium,mid,1.25
Flat,sector 50,4.0,4.0,No,Moderately Old,3395.0,0,0,0,Low,mid,6.75
Flat,sector 85,2.0,2.0,3,New Property,1200.0,1,1,2,High,mid,1.08
Flat,sector 92,3.0,3.0,3,Relatively New,1415.0,0,0,2,Low,lower,0.75
Flat,sector 102,3.0,3.0,3,New Property,2929.0,0,1,0,Medium,mid,1.95
Flat,sector 30,3.0,2.0,2,Old Property,1300.0,0,0,1,Medium,lower,1.45
Flat,sector 48,4.0,5.0,3,Moderately Old,2167.0,0,0,2,Low,lower,2.5
Flat,sector 106,3.0,4.0,3+,Under Construction,1592.0,1,0,0,Medium,mid,1.4
Flat,sector 37d,2.0,2.0,3,Relatively New,1310.0,0,0,0,High,mid,0.8
Flat,sector 112,4.0,6.0,3+,Moderately Old,3662.0,1,0,2,High,high,5.6
House,sector 9,9.0,9.0,3,Moderately Old,2628.0,0,0,2,Medium,lower,3.4
Flat,sector 4,1.0,1.0,1,Relatively New,500.0,0,0,0,Low,lower,0.21
Flat,sector 66,2.0,3.0,3,Relatively New,1330.0,1,0,2,Medium,lower,1.5
Flat,sector 28,2.0,2.0,2,Relatively New,1222.0,0,0,0,Medium,lower,1.6
Flat,sector 85,3.0,4.0,3,Relatively New,4051.0,1,0,0,High,mid,2.0
Flat,sector 36,3.0,2.0,3,New Property,833.0,0,0,0,Low,lower,0.85
Flat,sector 49,5.0,5.0,3+,Moderately Old,3723.0,1,0,0,Low,mid,4.52
Flat,sector 102,2.0,2.0,2,Relatively New,828.0,0,0,0,Medium,mid,0.96
Flat,sohna road,2.0,2.0,2,Relatively New,822.0,0,0,0,Medium,lower,0.58
Flat,sector 67,3.0,3.0,3,Relatively New,2047.0,0,0,2,High,lower,2.65
Flat,sector 67,3.0,4.0,3,Relatively New,2133.0,1,0,2,High,high,3.4
Flat,sector 82a,5.0,6.0,3+,New Property,5711.0,1,0,0,Medium,mid,3.85
Flat,sector 56,3.0,3.0,3,Moderately Old,1737.0,0,0,2,Medium,lower,1.39
House,sector 26,4.0,4.0,3,Moderately Old,4500.0,1,1,2,Low,lower,15.0
Flat,sector 86,4.0,4.0,3+,Relatively New,2132.0,1,0,0,Medium,high,1.4
Flat,sector 56,1.0,1.0,2,Old Property,667.0,0,0,0,Low,lower,0.5
House,sector 28,3.0,2.0,1,Relatively New,1800.0,0,0,0,Low,lower,1.45
Flat,sector 81,4.0,4.0,3+,Relatively New,7022.0,1,0,2,Medium,high,4.2
Flat,sector 63a,3.0,3.0,3,Under Construction,2153.0,0,0,0,Low,lower,3.15
House,sector 26,5.0,5.0,2,Old Property,2295.0,0,0,0,Low,lower,8.1
House,sector 105,3.0,3.0,No,Moderately Old,450.0,0,0,0,Low,lower,0.6
Flat,sector 67,3.0,4.0,3,Relatively New,4449.0,1,1,2,High,high,3.5
House,sector 48,4.0,4.0,1,Relatively New,3240.0,0,0,0,Low,lower,8.5
Flat,sector 7,2.0,2.0,1,Relatively New,700.0,0,0,0,Low,lower,0.36
Flat,sector 81,3.0,3.0,3,Relatively New,1650.0,0,0,2,Medium,mid,1.45
Flat,sector 37d,3.0,3.0,3,Relatively New,3372.0,0,0,0,Low,mid,1.5
Flat,sector 92,3.0,3.0,1,Relatively New,579.0,0,0,0,Low,lower,0.5
Flat,sector 99a,2.0,2.0,3,Relatively New,1390.0,0,0,0,Low,lower,1.05
Flat,sector 109,4.0,5.0,3+,Relatively New,2850.0,1,0,0,Medium,mid,2.95
House,sector 26,5.0,5.0,2,Moderately Old,4518.0,1,0,2,Medium,lower,13.5
Flat,sector 104,4.0,5.0,3+,Relatively New,3000.0,1,1,0,Medium,lower,1.35
Flat,sector 2,2.0,2.0,3,Moderately Old,1280.0,0,0,0,Medium,mid,1.02
Flat,sector 77,3.0,3.0,3,Relatively New,3204.0,0,0,2,Low,high,0.92
Flat,sector 22,3.0,4.0,3+,New Property,2000.0,1,0,2,Medium,mid,3.5
Flat,sector 99a,2.0,2.0,3,New Property,2735.0,0,0,0,Medium,mid,1.1
House,sector 31,4.0,4.0,3,Old Property,1449.0,0,1,2,Medium,lower,3.5
Flat,sector 70a,3.0,2.0,2,Moderately Old,2406.0,1,0,0,Medium,mid,2.6
House,sector 70a,5.0,4.0,3,New Property,2700.0,0,0,0,Low,lower,6.0
Flat,sector 81,4.0,5.0,3+,Relatively New,6140.0,1,0,2,High,lower,3.3
Flat,sector 107,3.0,4.0,3+,Relatively New,4114.0,1,0,2,High,mid,1.39
House,sector 25,5.0,3.0,2,Old Property,1350.0,0,1,0,Low,lower,4.5
Flat,sector 70a,3.0,4.0,3,Relatively New,2126.0,1,0,0,High,mid,2.52
Flat,sector 106,4.0,4.0,3+,Relatively New,2100.0,1,0,2,High,high,1.35
Flat,sector 49,3.0,3.0,3,Relatively New,2030.0,0,0,0,Low,high,2.35
Flat,sector 107,2.0,2.0,2,Relatively New,608.0,0,0,0,Low,mid,0.35
Flat,sector 103,4.0,5.0,3+,New Property,2416.0,1,0,0,Low,mid,2.0
Flat,sector 62,4.0,6.0,3,Relatively New,7733.0,1,0,2,High,mid,9.2
Flat,sector 78,3.0,3.0,3,Moderately Old,1853.0,0,0,0,Low,mid,1.05
Flat,sector 86,2.0,2.0,1,New Property,1300.0,0,0,0,Low,mid,0.82
Flat,sector 90,2.0,2.0,3,Relatively New,1444.0,0,0,0,Medium,mid,0.75
Flat,sector 81,3.0,3.0,3+,Moderately Old,2876.0,0,1,2,Medium,mid,1.35
House,sector 12,5.0,5.0,3,Moderately Old,2000.0,0,0,0,Low,lower,1.7
Flat,sector 85,4.0,5.0,3+,Relatively New,2544.0,1,0,0,High,lower,2.15
Flat,sector 107,2.0,2.0,3+,Relatively New,1236.0,0,0,0,Low,lower,0.9
Flat,sector 65,3.0,3.0,No,Relatively New,1828.0,0,0,0,Low,mid,2.8
Flat,sector 37c,3.0,3.0,3+,New Property,2211.0,1,0,0,Low,mid,1.44
Flat,sector 85,3.0,4.0,3,Relatively New,2400.0,1,0,0,High,mid,1.93
Flat,sector 3 phase 2,3.0,2.0,1,Relatively New,1000.0,0,0,0,Low,lower,0.4
Flat,sector 71,3.0,4.0,2,Relatively New,1577.0,1,0,2,High,mid,1.25
Flat,sector 110,3.0,3.0,3+,Relatively New,1850.0,1,0,2,Medium,mid,1.8
Flat,sector 86,3.0,3.0,1,Relatively New,1550.0,0,0,0,High,high,1.5
Flat,sector 79,2.0,2.0,3,New Property,1422.0,0,0,0,Low,lower,1.29
Flat,sector 107,3.0,3.0,3,Relatively New,3094.0,0,0,0,Medium,mid,1.3
Flat,sector 84,2.0,2.0,1,Relatively New,1061.0,0,1,1,Medium,mid,0.36
Flat,sector 74,2.0,2.0,3,Relatively New,1300.0,0,1,0,High,mid,1.48
House,sector 105,3.0,3.0,3,Relatively New,1050.0,0,0,0,Low,lower,0.43
Flat,sector 103,4.0,4.0,3,Relatively New,2601.0,1,1,0,Low,mid,2.45
Flat,sector 99,3.0,4.0,3,New Property,2515.0,1,0,2,High,lower,2.45
Flat,sector 10a,2.0,2.0,3,New Property,1086.0,0,0,0,Medium,mid,0.9
Flat,sector 108,3.0,4.0,3,Moderately Old,1771.0,0,0,2,Medium,lower,1.65
Flat,sector 50,3.0,4.0,3+,Old Property,2819.0,1,0,2,Medium,lower,3.25
Flat,sector 102,3.0,3.0,3,Relatively New,1690.0,0,0,2,Low,mid,2.15
House,sector 49,2.0,6.0,3,Moderately Old,1467.0,0,0,0,Low,lower,3.75
Flat,sector 70,3.0,3.0,2,Relatively New,2167.0,0,0,0,Medium,mid,1.65
Flat,sector 22,2.0,2.0,2,Relatively New,1533.0,0,0,0,Low,mid,2.0
Flat,sector 62,3.0,3.0,3,New Property,2876.0,1,0,2,Low,high,3.95
Flat,sector 110,3.0,3.0,3,Relatively New,1550.0,0,0,2,Medium,mid,1.4
Flat,sector 69,4.0,4.0,2,Relatively New,1819.0,0,0,2,Medium,mid,1.75
Flat,sector 69,4.0,3.0,No,Relatively New,1826.0,0,0,0,Low,lower,1.0
House,sector 14,5.0,4.0,2,Old Property,3240.0,0,0,0,Low,lower,5.5
