property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
House,sohna road,3.0,2.0,2,Under Construction,1120.0,0,0,0,Low,lower,0.85
House,sector 2,4.0,4.0,3,Relatively New,1557.0,0,1,2,Low,lower,2.9
Flat,sector 37d,2.0,2.0,3,Relatively New,1300.0,0,0,0,Medium,lower,0.8
House,sector 7,3.0,2.0,No,Old Property,1000.0,0,0,0,Low,lower,0.45
House,sector 3,3.0,3.0,No,Old Property,210.0,0,0,0,Low,lower,1.5
Flat,sector 109,4.0,1.0,No,New Property,3008.0,0,0,0,Low,lower,1.6
Flat,sector 79,2.0,2.0,3,Relatively New,1383.0,0,0,0,Low,lower,1.25
Flat,sector 109,3.0,4.0,3,Relatively New,1860.0,1,0,0,High,mid,2.2
Flat,sector 111,2.0,2.0,3,New Property,789.0,0,0,0,Medium,mid,0.6
Flat,sector 33,2.0,2.0,2,Under Construction,1253.0,0,0,0,Medium,mid,1.07
House,sector 50,5.0,6.0,3+,Moderately Old,3240.0,1,1,2,High,lower,10.3
House,sector 91,4.0,4.0,3+,Moderately Old,3400.0,1,1,2,Medium,lower,2.5
Flat,sector 90,3.0,3.0,3+,Relatively New,1746.0,1,0,0,Medium,mid,1.15
House,sector 43,3.0,3.0,3+,Old Property,60.0,0,0,1,Low,lower,1.9
House,sector 49,3.0,3.0,3,Moderately Old,1800.0,0,0,0,Medium,lower,2.8
Flat,sector 79,2.0,4.0,2,Relatively New,1222.0,0,0,0,Medium,lower,1.3
Flat,sohna road,2.0,2.0,1,Relatively New,681.0,0,0,2,Medium,mid,0.25
Flat,sector 15,2.0,2.0,1,Relatively New,856.0,0,0,2,Low,lower,0.43
Flat,sector 81,3.0,3.0,2,Relatively New,1700.0,1,0,1,High,high,2.5
Flat,sohna road,2.0,2.0,1,New Property,743.0,0,0,0,Low,lower,0.2
Flat,sector 67,3.0,3.0,2,Relatively New,200.0,0,0,0,Low,lower,1.2
Flat,sector 90,2.0,2.0,1,New Property,767.0,0,0,0,Low,lower,0.47
House,sector 92,2.0,2.0,3,Relatively New,959.0,0,0,0,Low,lower,0.75
Flat,sector 37d,2.0,3.0,2,Under Construction,656.0,0,0,0,Low,mid,0.45
House,sector 105,2.0,4.0,No,Moderately Old,56.0,0,0,0,Low,lower,0.55
Flat,sector 104,3.0,4.0,3+,Relatively New,2072.0,1,0,0,Medium,lower,2.0
Flat,sector 12,3.0,4.0,2,Old Property,2000.0,1,0,0,Low,lower,1.15
House,sector 109,3.0,2.0,No,Relatively New,2360.0,0,0,0,Low,lower,1.55
Flat,sector 2,2.0,2.0,3,Moderately Old,1280.0,0,0,0,Medium,lower,0.98
Flat,sector 69,3.0,2.0,3+,Relatively New,1326.0,0,0,2,Medium,lower,0.9
Flat,sector 86,3.0,4.0,3+,Moderately Old,3479.0,1,0,0,Medium,mid,1.28
Flat,sector 90,4.0,4.0,3+,Relatively New,2362.0,1,0,2,Medium,mid,1.51
House,sector 48,4.0,4.0,3,Moderately Old,4000.0,1,0,0,Low,lower,7.65
Flat,sector 90,4.0,4.0,3+,Relatively New,2020.0,0,0,2,Medium,mid,1.76
Flat,sector 61,2.0,2.0,1,Under Construction,1040.0,0,0,0,Low,lower,1.55
